ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
500938742,2025-10-10T15:00:04.339000,2025-10-10T15:05:33.872000,sell,0.01,0.01,XAUUSD,3995,3998.74,3998.5,3944.434,0,0,-3.74,,,sl
500970884,2025-10-10T14:49:21.762000,2025-10-10T14:58:20.086000,sell,0.02,0.02,XAUUSD,3986.722,3989.023,3988.722,3944.338,0,0,-4.61,,,sl
500957647,2025-10-10T14:37:56.681000,2025-10-10T14:40:21.700000,sell,0.01,0.01,XAUUSD,3985.37,3988.633,3988.37,3944.379,0,0,-3.26,,,sl
499213137,2025-10-09T14:53:15.493000,2025-10-09T16:34:20.694000,sell,0.01,0.03,XAUUSD,4026.721,4006.451,4029.384,4006.451,0,0,20.27,,,tp
499213137,2025-10-09T14:53:15.493000,2025-10-09T15:30:01.884000,sell,0.02,0.03,XAUUSD,4026.721,4016.388,4029.384,4006.451,,0,20.66,,,user
499194829,2025-10-09T14:45:52.030000,2025-10-09T14:48:10.903000,sell,0.03,0.03,XAUUSD,4013.165,4015.83,4015.83,4002.472,0,0,-7.99,,,sl
499151561,2025-10-09T14:27:07.239000,2025-10-09T14:29:49.424000,buy,0.02,0.02,XAUUSD,4011.3,4007.3,4007.3,4023.352,0,0,-8,,,sl
495482145,2025-10-07T14:14:55.439000,2025-10-07T14:33:55.008000,buy,0.01,0.01,XAUUSD,3971.919,3980.919,3971.929,3980.919,0,0,9,,,tp
495460640,2025-10-07T14:10:48.560000,2025-10-07T14:13:19.682000,buy,0.02,0.02,XAUUSD,3971.08,3969.58,3969.58,3983.479,0,0,-3,,,sl
495333777,2025-10-07T13:19:07.661000,2025-10-07T13:24:25.233000,sell,0.02,0.02,XAUUSD,3983.967,3977.965,3985.867,3977.965,0,0,12,,,tp
495319760,2025-10-07T13:13:13.724000,2025-10-07T13:18:39.333000,sell,0.02,0.02,XAUUSD,3983.865,3985.365,3985.365,3979.365,0,0,-3,,,sl
495302973,2025-10-07T13:05:02.426000,2025-10-07T13:07:38.406000,sell,0.02,0.02,XAUUSD,3981.76,3983.26,3983.26,3974.26,0,0,-3,,,sl
495291224,2025-10-07T12:59:36.192000,2025-10-07T13:02:38.550000,sell,0.02,0.02,XAUUSD,3979.148,3980.648,3980.648,3974.645,0,0,-3,,,sl
491564500,2025-10-03T16:04:20.949000,2025-10-05T22:15:44.747000,sell,0.01,0.01,XAUUSD,3889.51,3892.01,3892.01,,0,0,-2.5,,,sl
491304315,2025-10-03T15:27:50.111000,2025-10-03T15:56:32.796000,sell,0.01,0.01,XAUUSD,3887.9,3890.9,3890.9,,0,0,-3,,,sl
491489481,2025-10-03T15:14:32.809000,2025-10-03T15:21:51.373000,sell,0.01,0.01,XAUUSD,3879.934,3882.458,3882.458,,0,0,-2.53,,,sl
491195934,2025-10-03T13:12:57.328000,2025-10-03T13:13:20.157000,sell,0.02,0.02,XAUUSD,3875.451,3877.502,3877.502,,0,0,-4.1,,,sl
491192601,2025-10-03T13:10:58.304000,2025-10-03T13:12:02.693000,sell,0.01,0.01,XAUUSD,3875.068,3876.356,3876.356,,0,0,-1.29,,,sl
491182623,2025-10-03T13:06:25.825000,2025-10-03T13:12:02.433000,sell,0.01,0.01,XAUUSD,3873.284,3876.365,3876.365,,0,0,-3.09,,,sl
491145066,2025-10-03T12:43:24.462000,2025-10-03T12:45:00.658000,sell,0.02,0.02,XAUUSD,3869.54,3871.345,3871.04,3855.855,0,0,-3.61,,,sl
491134396,2025-10-03T12:36:57.533000,2025-10-03T12:41:25.425000,sell,0.02,0.02,XAUUSD,3868.12,3869.62,3869.62,3793.1,0,0,-3,,,sl
489630147,2025-10-02T13:29:10.307000,2025-10-02T13:29:44.496000,sell,0.02,0.02,XAUUSD,3892.307,3893.827,3893.827,,0,0,-3.04,,,sl
489617906,2025-10-02T13:20:54.130000,2025-10-02T13:24:05.802000,sell,0.02,0.02,XAUUSD,3890.923,3892.423,3892.423,,0,0,-3,,,sl
488777805,2025-10-02T01:01:23.003000,2025-10-02T01:54:00.407000,buy,0.05,0.1,XAUUSD,3854.11,3864.43,3854.21,3864.43,0,0,51.6,,,tp
488777805,2025-10-02T01:01:23.003000,2025-10-02T01:29:19.959000,buy,0.03,0.1,XAUUSD,3854.11,3863.799,3854.21,3864.43,,0,29.07,,,user
